# ANO;TIPO;FAIXA_INICIAL;FAIXA_FINAL;ALIQUOTA;DEDUCAO
2020;INSS;0;1045.00;0.075;0
2020;INSS;1045.01;2089.60;0.09;15.67
2020;INSS;2089.61;3134.40;0.12;78.36
2020;INSS;3134.41;6101.06;0.14;141.05
2020;IRRF;1903.99;2826.65;0.075;142.8
2020;IRRF;2826.66;3751.05;0.15;354.8
2020;IRRF;3751.06;4664.68;0.225;636.13
2020;IRRF;4664.69;999999.99;0.275;869.36
2020;FGTS;0;999999.99;0.08;0

2021;INSS;0;1100.00;0.075;0
2021;INSS;1100.01;2203.48;0.09;16.50
2021;INSS;2203.49;3305.22;0.12;82.61
2021;INSS;3305.23;6433.57;0.14;148.72
2021;IRRF;1903.99;2826.65;0.075;142.8
2021;IRRF;2826.66;3751.05;0.15;354.8
2021;IRRF;3751.06;4664.68;0.225;636.13
2021;IRRF;4664.69;999999.99;0.275;869.36
2021;FGTS;0;999999.99;0.08;0

2022;INSS;0;1212.00;0.075;0
2022;INSS;1212.01;2427.35;0.09;18.18
2022;INSS;2427.36;3641.03;0.12;91.01
2022;INSS;3641.04;7087.22;0.14;163.83
2022;IRRF;1903.99	;2826.65;0.075;142.8
2022;IRRF;2826.66;3751.05;0.15;354.8
2022;IRRF;3751.06;4664.68;0.225;636.13
2022;IRRF;4664.69;999999.99;0.275;869.36
2022;FGTS;0;999999.99;0.08;0

2023;INSS;0;1302.00;0.075;0
2023;INSS;1302.01;2571.29;0.09;19.53
2023;INSS;2571.30;3856.94;0.12;97.01
2023;INSS;3856.95;7507.49;0.14;174.05
2023;IRRF;1903.99;2826.65;0.075;142.8
2023;IRRF;2826.66;3751.05;0.15;354.8
2023;IRRF;3751.06;4664.68;0.225;636.13
2023;IRRF;4664.69;999999.99;0.275;869.36
2023;FGTS;0;999999.99;0.08;0

2024;INSS;0;1412.00;0.075;0
2024;INSS;1412.01;2665.66;0.09;21.18
2024;INSS;2665.67;4000.03;0.12;102.31
2024;INSS;4000.04;7786.02;0.14;183.78
2024;IRRF;2259.21;2826.65;0.075;169.44
2024;IRRF;2826.66;3751.05;0.15;381.44
2024;IRRF;3751.06;4664.68;0.225;662.77
2024;IRRF;4664.69;999999.99;0.275;896.00
2024;FGTS;0;999999.99;0.08;0

2025;INSS;0;1500.00;0.075;0
2025;INSS;1500.01;2800.00;0.09;23.25
2025;INSS;2800.01;4200.00;0.12;109.23
2025;INSS;4200.01;8000.00;0.14;195.74
2025;IRRF;2259.21;2826.65;0.075;169.44
2025;IRRF;2826.66;3751.05;0.15;381.44
2025;IRRF;3751.06;4664.68;0.225;662.77
2025;IRRF;4664.69;999999.99;0.275;896.00
2025;FGTS;0;999999.99;0.08;0
